N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
81,포스코인터내셔널,"22,600",750,-3.21%,"5,000","39,759","175,923",5.95,"825,376",4.87,10.86,
82,코웨이,"53,400",100,+0.19%,500,"39,409","73,800",61.57,"595,898",8.40,27.41,
83,두산밥캣,"37,900",500,-1.30%,500,"37,994","100,249",30.88,"381,259",7.86,9.19,
84,GS,"40,650",450,-1.09%,"5,000","37,770","92,915",25.47,"202,367",1.73,15.55,
85,SKC,"98,000","6,500",+7.10%,"5,000","37,111","37,868",13.61,"593,495",27.57,11.60,
86,삼성카드,"30,700",350,+1.15%,"5,000","35,569","115,859",6.45,"86,297",6.07,7.53,
87,한국금융지주,"62,000","1,900",+3.16%,"5,000","34,550","55,726",37.52,"265,522",4.34,27.12,
88,현대차2우B,"94,100","1,900",+2.06%,"5,000","33,989","36,121",61.41,"80,646",4.20,N/A,
89,팬오션,"6,330",220,-3.36%,"1,000","33,838","534,570",14.31,"3,953,930",4.34,17.16,
90,아모레G,"40,000",150,-0.37%,500,"32,983","82,458",10.30,"338,841",103.36,5.49,
91,한미약품,"259,000",500,-0.19%,"2,500","32,536","12,562",16.22,"26,979",40.28,8.75,
92,롯데지주,"30,650",200,-0.65%,200,"32,155","104,909",9.38,"113,695",18.35,4.61,
93,NH투자증권,"9,500",360,+3.94%,"5,000","31,508","331,666",12.84,"1,342,836",7.52,14.77,
94,호텔신라,"80,200","1,600",+2.04%,"5,000","31,477","39,248",19.02,"252,715",66.12,4.51,
95,현대해상,"35,200",300,-0.85%,500,"31,469","89,400",36.07,"484,434",5.78,8.82,
96,BGF리테일,"180,700",200,+0.11%,"1,000","31,232","17,284",34.01,"30,785",16.58,19.61,
97,이마트,"112,000","1,300",-1.15%,"5,000","31,221","27,876",31.77,"104,419",3.37,16.25,
98,현대오토에버,"113,600",200,+0.18%,500,"31,154","27,424",2.89,"53,825",34.67,7.26,
99,KODEX KOFR금리액티브(합성),"102,250",20,+0.02%,0,"30,793","30,115",0.00,"66,398",N/A,N/A,
100,TIGER 차이나전기차SOLACTIVE,"11,970",65,+0.55%,0,"30,380","253,800",0.12,"3,736,573",N/A,N/A,
101,GS리테일,"28,850",500,-1.70%,"1,000","30,211","104,718",8.73,"190,996",33.47,25.58,
102,삼성증권,"33,500",750,+2.29%,"5,000","29,916","89,300",28.31,"863,198",5.38,16.94,
103,한진칼,"44,800",700,-1.54%,"2,500","29,909","66,762",16.80,"105,840",3.16,1.11,
104,일진머티리얼즈,"63,600","2,000",+3.25%,500,"29,326","46,111",9.63,"351,175",52.61,7.85,
105,쌍용C&E,"5,800",50,+0.87%,100,"29,224","503,860",2.61,"306,567",44.27,11.12,
106,KODEX 200선물인버스2X,"2,950",15,-0.51%,0,"28,934","980,800",3.04,"162,244,033",N/A,N/A,
107,씨에스윈드,"66,900",700,+1.06%,500,"28,213","42,171",11.52,"216,338",224.50,10.13,
108,현대미포조선,"70,200","1,600",-2.23%,"5,000","28,039","39,942",21.08,"648,906",104.15,-7.11,
109,대우조선해양,"25,750",300,+1.18%,"5,000","27,627","107,291",3.12,"344,861",-1.61,-55.86,
110,현대로템,"24,950",200,-0.80%,"5,000","27,231","109,142",6.31,"1,298,366",24.83,5.01,
111,키움증권,"103,200","2,100",-1.99%,"5,000","27,059","26,220",24.94,"41,204",5.34,25.38,
112,한국가스공사,"28,050",650,-2.26%,"5,000","25,894","92,313",8.87,"795,898",2.19,11.63,
113,한화생명,"2,975",10,+0.34%,"5,000","25,839","868,530",7.40,"2,521,550",2.41,10.79,
114,동원산업,"51,500",700,+1.38%,"1,000","25,741","49,983",2.66,"187,043",4.68,12.59,
115,CJ,"86,900","3,100",+3.70%,"5,000","25,355","29,177",17.93,"257,833",8.83,5.66,
116,KODEX 종합채권(AA-이상)액티브,"103,375",530,-0.51%,0,"25,242","24,418",0.00,"2,164",N/A,N/A,
117,롯데쇼핑,"87,000",300,+0.35%,"5,000","24,611","28,289",11.92,"65,161",-4.74,-2.94,
118,서울가스,"486,000","1,500",-0.31%,"5,000","24,300","5,000",4.34,"7,775",115.11,0.80,
